2017-11-04 20:10:12,1217,lowFloor,318,428,-41.2242088,174.8598785,Inbound,8858
2017-11-04 20:12:07,1217,lowFloor,222,428,-41.2341194,174.8355713,Inbound,8858
2017-11-04 20:12:07,1217,lowFloor,222,428,-41.2341194,174.8355713,Inbound,8858
2017-11-04 20:14:06,1217,lowFloor,294,428,-41.2479935,174.8137665,Inbound,8858
2017-11-04 20:17:05,1217,lowFloor,234,342,-41.2580833,174.7925415,Inbound,8858
2017-11-04 20:17:35,1217,lowFloor,222,342,-41.2601547,174.7900391,Inbound,8858
2017-11-04 20:20:05,1217,lowFloor,150,365,-41.2742081,174.7834778,Inbound,8858
2017-11-04 20:20:36,1217,lowFloor,246,396,-41.2761917,174.7818146,Inbound,8858
2017-11-04 20:22:07,1217,lowFloor,234,427,-41.2787132,174.7788391,Inbound,8858
2017-11-04 20:24:07,1217,lowFloor,234,487,-41.2799759,174.7764587,Inbound,8858
2017-11-04 20:25:07,1217,lowFloor,198,427,-41.2829475,174.7756195,Inbound,8858
2017-11-04 20:25:07,1217,lowFloor,198,427,-41.2829475,174.7756195,Inbound,8858
2017-11-04 20:26:05,1217,lowFloor,186,458,-41.2842064,174.7753754,Inbound,8858
2017-11-04 20:27:06,1217,lowFloor,126,461,-41.2856483,174.7766876,Inbound,8858
2017-11-04 20:28:35,1217,lowFloor,210,515,-41.2881737,174.7753754,Inbound,8858
2017-11-04 20:32:35,1217,lowFloor,126,515,-41.2929459,174.7796783,Inbound,8858
2017-11-04 20:34:36,1217,lowFloor,90,0,-41.2938461,174.7826538,Outbound,5000
2017-11-04 20:35:05,1217,lowFloor,114,0,-41.2940292,174.7833710,Outbound
2017-11-04 22:35:36,1217,lowFloor,234,0,-41.2958298,174.7830048,Outbound,5000
2017-11-04 22:37:35,1217,lowFloor,294,0,-41.2939377,174.7824097,Outbound,5000
2017-11-05 00:37:59,1618,lowFloor,162,1292,-41.2803345,174.9067230,Outbound,5000
2017-11-05 11:56:29,1611,lowFloor,54,193,-41.2097931,174.9040985,Inbound
2017-11-05 11:56:58,1611,lowFloor,54,193,-41.2097931,174.9040985,Inbound,8858
2017-11-05 11:58:59,1611,lowFloor,258,272,-41.2109642,174.9035034,Inbound,8858
2017-11-05 11:59:28,1611,lowFloor,234,268,-41.2116852,174.9002991,Inbound,8858
2017-11-05 11:59:58,1611,lowFloor,270,268,-41.2129478,174.8987427,Inbound,8858
2017-11-05 12:01:58,1611,lowFloor,210,270,-41.2172737,174.8905182,Inbound,8858
